,sentence_id,word_len,word
367,53,4,life
368,53,6,seemed
369,53,3,was
370,53,4,dear
371,53,7,Heather
372,53,3,saw
373,53,4,less
374,53,3,and
375,53,4,less
376,53,2,of
377,53,3,her
378,53,6,father
379,53,2,as
380,53,3,did
381,53,1,I
382,65,6,Little
383,65,9,Heather’s
384,65,4,eyes
385,65,3,had
386,65,6,filled
387,65,4,with
388,65,5,tears
389,65,7,causing
390,65,3,her
391,65,9,beautiful
392,65,4,blue
393,65,4,eyes
394,65,2,to
395,65,7,glitter
396,65,2,in
397,65,3,the
398,65,9,firelight
399,66,3,She
400,66,4,held
401,66,3,her
402,13,8,Although
403,13,3,not
404,13,1,a
405,13,5,great
406,13,4,deal
407,13,2,of
408,13,11,personality
409,13,7,"change,"
410,13,5,there
411,13,3,was
412,13,2,an
413,13,3,air
414,13,5,about
415,13,3,her
416,13,4,that
417,13,6,seemed
418,13,2,to
419,13,6,giggle
420,13,2,at
421,13,8,everyone
422,13,4,from
423,13,3,the
424,13,6,corner
425,13,2,of
426,13,7,reality
427,14,2,As
428,14,2,if
429,14,1,a
430,14,4,joke
431,14,3,was
432,14,5,being
433,14,11,perpetrated
434,14,4,upon
435,14,4,them
436,14,2,by
437,14,4,some
438,14,10,malevolent
439,14,5,force
440,14,4,just
441,14,3,out
442,14,2,of
443,14,5,sight
444,14,2,in
445,14,3,the
446,14,6,corner
447,14,2,of
448,14,5,their
449,14,4,eyes
450,15,4,With
451,15,5,every
452,15,4,step
453,15,3,she
454,15,6,seemed
455,15,2,to
456,15,4,take
457,15,2,in
458,15,3,the
459,15,5,world
460,15,4,anew
461,15,3,and
462,15,10,experience
463,15,3,its
464,15,6,sights
465,15,3,and
466,15,5,sound
467,15,2,to
468,15,5,their
469,15,7,fullest
470,16,5,There
471,16,6,seemed
472,16,2,no
473,16,9,sensation
474,16,2,to
475,16,6,subtle
476,16,2,or
477,16,5,small
478,16,2,to
479,16,6,escape
480,16,3,her
481,23,1,A
482,23,9,professor
483,23,2,of
484,23,4,life
485,23,5,there
486,23,4,were
487,23,3,few
488,23,6,people
489,23,4,that
490,23,10,understood
491,23,6,better
492,23,4,what
493,23,4,made
494,23,3,the
495,23,5,human
496,23,4,body
497,23,6,course
498,23,4,with
499,23,4,life
500,24,3,Yet
501,24,2,in
502,24,3,the
503,24,3,age
504,24,2,of
505,24,5,steam
506,24,3,and
507,24,5,steel
508,24,2,he
509,24,3,was
510,24,9,ridiculed
511,24,3,for
512,24,3,his
513,24,8,theories
514,24,2,on
515,24,3,the
516,24,9,existence
517,24,2,of
518,24,1,a
519,24,4,life
520,24,6,source
521,24,3,and
522,24,3,the
523,24,5,being
524,24,2,of
525,24,4,soul
526,26,6,Forced
527,26,2,to
528,26,4,live
529,26,4,upon
530,26,4,what
531,26,5,small
532,26,4,coin
533,26,3,and
534,26,6,scraps
535,26,3,her
536,17,3,She
537,17,6,walked
538,17,4,with
539,17,4,wide
540,17,4,eyes
541,17,3,and
542,17,1,a
543,17,9,contented
544,17,5,smile
545,18,3,Ten
546,18,5,years
547,18,2,go
548,18,3,her
549,18,6,family
550,18,3,had
551,18,6,fallen
552,18,6,victim
553,18,2,to
554,18,3,the
555,18,6,plague
556,18,3,and
557,18,7,poverty
558,18,4,that
559,18,6,seemed
560,18,2,to
561,18,2,be
562,18,9,affecting
563,18,4,more
564,18,6,people
565,18,2,as
566,18,3,the
567,18,4,days
568,18,4,went
569,18,2,by
570,19,3,The
571,19,5,world
572,19,5,seems
573,19,2,to
574,19,2,be
575,19,9,"receding,"
576,19,8,cresting
577,19,5,waves
578,19,5,after
579,19,1,a
580,19,11,magnificent
581,19,5,swell
582,22,1,A
583,22,6,proven
584,22,6,genius
585,22,2,in
586,22,3,his
587,22,5,field
588,22,2,he
589,22,3,had
590,22,6,single
591,22,8,handedly
592,22,7,charted
593,22,3,the
594,22,8,networks
595,22,2,of
596,22,7,nervous
597,22,6,fibers
598,22,4,that
599,22,6,served
600,22,2,as
601,22,5,roads
602,22,4,upon
603,22,5,which
604,22,3,our
605,22,5,every
606,22,9,"movement,"
607,22,3,our
608,22,5,every
609,22,7,thought
610,22,3,was
611,22,12,communicated
612,25,2,In
613,25,3,the
614,25,4,face
615,25,2,of
616,25,3,his
617,25,10,scientific
618,25,11,fellowships
619,25,5,scorn
620,25,2,he
621,25,6,"broke,"
622,25,3,and
623,25,3,was
624,25,7,shunned
625,35,5,Where
626,35,7,Bernard
627,35,3,had
628,35,6,fallen
629,35,5,under
630,35,3,the
631,35,8,ridicule
632,35,2,of
633,35,3,the
634,35,6,"Board,"
635,35,1,I
636,35,3,was
637,35,5,still
638,35,6,highly
639,35,7,revered
640,35,3,for
641,35,2,my
642,35,4,work
643,35,2,on
644,35,9,renewable
645,35,9,bacterial
646,35,7,induced
647,35,9,induction
648,35,3,and
649,35,10,locomotion
650,38,3,Any
651,38,5,money
652,38,1,I
653,38,7,offered
654,38,2,in
655,38,5,front
656,38,2,of
657,38,7,Bernard
658,38,3,was
659,38,6,pushed
660,38,4,back
661,38,4,into
662,38,2,my
663,38,6,pocket
664,38,4,with
665,38,1,a
666,38,5,proud
667,38,4,look
668,38,4,upon
669,26,6,mother
670,26,5,could
671,26,5,bring
672,26,2,in
673,26,2,as
674,26,1,a
675,26,10,seamstress
676,26,10,struggling
677,26,3,was
678,26,2,no
679,26,8,stranger
680,36,2,As
681,36,1,a
682,36,7,brother
683,36,3,and
684,36,7,trusted
685,36,7,partner
686,36,1,I
687,36,7,visited
688,36,7,Bernard
689,36,5,daily
690,37,3,His
691,37,6,family
692,37,3,was
693,37,2,my
694,37,6,family
695,37,3,and
696,37,2,my
697,37,5,heart
698,37,4,went
699,37,3,out
700,37,2,to
701,37,4,them
702,48,3,She
703,48,5,never
704,48,6,seemed
705,48,2,to
706,48,4,wane
707,48,3,and
708,48,2,no
709,48,6,matter
710,48,3,the
711,48,7,"strain,"
712,48,6,always
713,48,8,retained
714,48,2,an
715,48,9,uplifting
716,48,4,look
717,48,4,upon
718,48,3,her
719,48,4,face
720,49,3,The
721,49,5,times
722,49,4,then
723,49,6,seemed
724,49,2,to
725,49,2,be
726,49,1,a
727,49,4,test
728,49,2,of
729,49,5,their
730,49,5,metal
731,49,3,and
732,49,1,a
733,49,3,run
734,49,2,on
735,49,5,their
736,49,4,hope
737,55,1,I
738,55,5,often
739,55,3,now
740,55,3,sit
741,55,3,and
742,55,6,wonder
743,55,4,what
744,55,2,he
745,55,3,was
746,55,2,up
747,55,2,to
748,55,2,in
749,55,4,that
750,55,7,cramped
751,55,5,study
752,58,4,What
753,58,9,"research,"
754,58,4,what
755,58,7,"dreams,"
756,58,4,what
757,58,7,madness
758,58,3,had
759,58,5,drove
760,58,3,his
761,58,3,pen
762,58,2,to
763,58,5,paper
764,64,9,Cremation
765,64,3,was
766,64,8,standard
767,64,8,practice
768,64,3,for
769,64,6,plague
770,64,7,victims
771,64,3,not
772,64,7,wanting
773,64,2,to
774,64,3,end
775,64,2,up
776,64,2,in
777,64,1,a
778,64,4,mass
779,64,5,grave
780,64,2,in
781,64,3,the
782,64,11,countryside
783,67,1,I
784,67,5,found
785,67,2,it
786,67,7,strange
787,67,2,to
788,67,4,find
789,67,6,almost
790,67,2,no
791,67,7,emotion
792,67,4,upon
793,67,3,the
794,67,4,face
795,67,2,of
796,67,7,Bernard
797,79,1,I
798,79,8,"however,"
799,79,5,still
800,79,5,tried
801,79,2,to
802,79,4,make
803,27,6,Health
804,27,13,complications
805,27,3,for
806,27,3,the
807,27,6,West’s
808,27,6,second
809,27,6,"child,"
810,27,10,Maximilian
811,27,5,"Post,"
812,27,7,Heather
813,27,6,Post’s
814,27,6,little
815,27,8,"brother,"
